emp_no,first_name,last_name,title,from_date,salary,count
413688,Aamer,Azuma,Senior Engineer,1995-12-10,47553,2
413688,Aamer,Azuma,Engineer,1989-12-10,47553,2
296633,Aamer,Berendt,Senior Engineer,2002-03-10,40000,2
296633,Aamer,Berendt,Engineer,1995-03-10,40000,2
415182,Aamer,Danner,Staff,1993-03-30,48452,2
415182,Aamer,Danner,Senior Staff,1999-03-30,48452,2
93862,Aamer,Dehkordi,Engineer,1996-08-20,57463,2
93862,Aamer,Dehkordi,Senior Engineer,2001-08-20,57463,2
247624,Aamer,Dulli,Assistant Engineer,1990-03-06,48081,2
247624,Aamer,Dulli,Engineer,1997-03-06,48081,2
461709,Aamer,Dusink,Engineer,1993-07-23,44824,2
461709,Aamer,Dusink,Senior Engineer,2002-07-23,44824,2
61761,Aamer,Feinberg,Senior Staff,1999-11-03,45996,2
61761,Aamer,Feinberg,Staff,1992-11-02,45996,2
210129,Aamer,Frijda,Senior Engineer,1995-11-06,40000,2
210129,Aamer,Frijda,Engineer,1986-11-06,40000,2
400718,Aamer,Frolund,Staff,1996-08-01,75940,2
400718,Aamer,Frolund,Senior Staff,2001-08-01,75940,2
227392,Aamer,Gill,Senior Engineer,1999-05-31,40000,2
227392,Aamer,Gill,Engineer,1992-05-30,40000,2
466972,Aamer,Haldar,Engineer,1988-03-25,46892,2
466972,Aamer,Haldar,Senior Engineer,1996-03-25,46892,2
299725,Aamer,Holburn,Senior Engineer,1996-12-08,40231,2
299725,Aamer,Holburn,Engineer,1988-12-08,40231,2
458001,Aamer,Hoogerwoord,Staff,1989-02-04,40000,2
458001,Aamer,Hoogerwoord,Senior Staff,1995-02-04,40000,2
438868,Aamer,Huhdanpaa,Senior Staff,2000-04-16,80116,2
438868,Aamer,Huhdanpaa,Staff,1994-04-17,80116,2
205248,Aamer,Imataki,Engineer,1988-08-24,40000,2
205248,Aamer,Imataki,Senior Engineer,1994-08-24,40000,2
262801,Aamer,Krider,Senior Engineer,2000-08-14,40000,2
262801,Aamer,Krider,Engineer,1994-08-15,40000,2
76268,Aamer,Lorcy,Staff,1995-02-14,61294,2
76268,Aamer,Lorcy,Senior Staff,2001-02-13,61294,2
51575,Aamer,Lupu,Senior Engineer,1998-12-06,40000,2
51575,Aamer,Lupu,Engineer,1989-12-06,40000,2
220170,Aamer,McFarlan,Senior Engineer,1996-09-30,51722,2
220170,Aamer,McFarlan,Engineer,1987-10-01,51722,2
101778,Aamer,Peha,Senior Engineer,2000-09-12,40000,2
101778,Aamer,Peha,Engineer,1991-09-13,40000,2
204609,Aamer,Peris,Senior Engineer,1994-03-25,40000,2
204609,Aamer,Peris,Engineer,1989-03-25,40000,2
466469,Aamer,Ratnaker,Senior Staff,1994-04-25,40000,2
466469,Aamer,Ratnaker,Staff,1989-04-25,40000,2
74202,Aamer,Schneeberger,Senior Engineer,1993-10-14,48172,2
74202,Aamer,Schneeberger,Engineer,1987-10-15,48172,2
255361,Aamer,Spell,Assistant Engineer,1995-08-21,40000,3
